year,state,county,county_code,state_code,units_of_measure,Air.Quality.Index,AQI,pollutant,arithmetic_mean
1981,California,Contra Costa,13,6,Parts per billion,Good,51,NO2,33.03898
1981,California,Contra Costa,13,6,Parts per million,Good,59,Ozone,0.0187875
1981,California,Contra Costa,13,6,Parts per billion,Good,51,SO2,1.132959375
1981,California,El Dorado,17,6,Parts per million,Good,51,CO,2.032842857142857
1981,California,El Dorado,17,6,Parts per billion,Good,51,NO2,30.75245
1981,California,El Dorado,17,6,Parts per million,Good,65,Ozone,0.033975
1981,California,Fresno,19,6,Parts per million,Good,51,CO,1.121185
1981,California,Fresno,19,6,Parts per billion,Good,51,NO2,37.88120833333333
1981,California,Fresno,19,6,Parts per million,Good,63,Ozone,0.02841111111111111
1981,California,Fresno,19,6,Parts per billion,Good,51,SO2,2.498025
1981,California,Glenn,21,6,Parts per million,Good,60,Ozone,0.021275
1981,California,Imperial,25,6,Parts per million,Good,66,Ozone,0.036175
1981,California,Inyo,27,6,Parts per million,Good,63,Ozone,0.0294
1981,California,Kern,29,6,Parts per million,Good,51,CO,1.349075
1981,California,Kern,29,6,Parts per billion,Good,55,NO2,56.83175
1981,California,Kern,29,6,Parts per million,Good,62,Ozone,0.027175
1981,California,Kern,29,6,Parts per billion,Good,51,SO2,11.4696125
1981,California,Kings,31,6,Parts per million,Good,60,Ozone,0.02095
1981,California,Lake,33,6,Parts per million,Good,51,CO,0.52935
1981,California,Lake,33,6,Parts per billion,Good,51,NO2,13.35965
1981,California,Lake,33,6,Parts per million,Good,61,Ozone,0.02325
1981,California,Los Angeles,37,6,Parts per million,Good,51,CO,2.416025925925926
1981,California,Los Angeles,37,6,Parts per billion,Good,91,NO2,90.93784067796612
1981,California,Los Angeles,37,6,Parts per million,Good,63,Ozone,0.02870163934426229
1981,California,Los Angeles,37,6,Parts per billion,Good,51,SO2,6.153610638297873
1981,California,Madera,39,6,Parts per million,Good,68,Ozone,0.0424
1981,California,Marin,41,6,Parts per million,Good,51,CO,0.9732
1981,California,Marin,41,6,Parts per billion,Good,51,NO2,40.336025
1981,California,Marin,41,6,Parts per million,Good,55,Ozone,0.009875
1981,California,Mendocino,45,6,Parts per million,Good,57,Ozone,0.013525
1981,California,Mono,51,6,Parts per million,Good,51,CO,0.6624749999999999
1981,California,Monterey,53,6,Parts per million,Good,51,CO,1.0834
1981,California,Monterey,53,6,Parts per billion,Good,51,NO2,25.2366875
1981,California,Monterey,53,6,Parts per million,Good,61,Ozone,0.02275833333333333
1981,California,Monterey,53,6,Parts per billion,Good,51,SO2,0.202325
1981,California,Napa,55,6,Parts per million,Good,51,CO,1.02135
1981,California,Napa,55,6,Parts per billion,Good,51,NO2,31.240475
1981,California,Napa,55,6,Parts per million,Good,58,Ozone,0.015625
1981,California,Orange,59,6,Parts per million,Good,51,CO,1.4730466666666666
1981,California,Orange,59,6,Parts per billion,Good,75,NO2,75.923775
1981,California,Orange,59,6,Parts per million,Good,60,Ozone,0.02175909090909091
1981,California,Orange,59,6,Parts per billion,Good,51,SO2,4.167835294117647
1981,California,Placer,61,6,Parts per million,Good,64,Ozone,0.0318125
1981,California,Riverside,65,6,Parts per million,Good,51,CO,1.37675
1981,California,Riverside,65,6,Parts per billion,Good,62,NO2,64.21450625
1981,California,Riverside,65,6,Parts per million,Good,66,Ozone,0.03639705882352941
1981,California,Riverside,65,6,Parts per billion,Good,51,SO2,1.7067
1981,California,Sacramento,67,6,Parts per million,Good,51,CO,0.888064705882353
1981,California,Sacramento,67,6,Parts per billion,Good,51,NO2,33.186305
1981,California,Sacramento,67,6,Parts per million,Good,60,Ozone,0.02248571428571428
1981,California,Sacramento,67,6,Parts per billion,Good,51,SO2,1.98945
1981,California,San Benito,69,6,Parts per billion,Good,51,NO2,22.0851
1981,California,San Benito,69,6,Parts per million,Good,62,Ozone,0.02692499999999999
1981,California,San Bernardino,71,6,Parts per million,Good,51,CO,1.109523529411765
1981,California,San Bernardino,71,6,Parts per billion,Good,64,NO2,65.61993913043479
1981,California,San Bernardino,71,6,Parts per million,Good,69,Ozone,0.04496382978723404
1981,California,San Bernardino,71,6,Parts per billion,Good,51,SO2,2.71673
1981,California,San Diego,73,6,Parts per million,Good,51,CO,1.1900259259259258
1981,California,San Diego,73,6,Parts per billion,Good,51,NO2,54.41943181818182
1981,California,San Diego,73,6,Parts per million,Good,65,Ozone,0.03545806451612903
1981,California,San Diego,73,6,Parts per billion,Good,51,SO2,3.908130434782609
1981,California,San Francisco,75,6,Parts per million,Good,51,CO,1.57605
1981,California,San Francisco,75,6,Parts per billion,Good,51,NO2,44.603625
1981,California,San Francisco,75,6,Parts per million,Good,56,Ozone,0.010725
1981,California,San Francisco,75,6,Parts per billion,Good,51,SO2,4.2085
1981,California,San Joaquin,77,6,Parts per million,Good,51,CO,0.6005714285714285
1981,California,San Joaquin,77,6,Parts per billion,Good,51,NO2,41.250225
1981,California,San Joaquin,77,6,Parts per million,Good,60,Ozone,0.02194285714285714
1981,California,San Joaquin,77,6,Parts per billion,Good,51,SO2,1.3603
1981,California,San Luis Obispo,79,6,Parts per million,Good,51,CO,0.6268
1981,California,San Luis Obispo,79,6,Parts per billion,Good,51,NO2,22.561491666666665
1981,California,San Luis Obispo,79,6,Parts per million,Good,60,Ozone,0.02203571428571428
1981,California,San Luis Obispo,79,6,Parts per billion,Good,51,SO2,1.761016666666667
1981,California,San Mateo,81,6,Parts per million,Good,51,CO,1.3257249999999998
1981,California,San Mateo,81,6,Parts per billion,Good,51,NO2,24.764725
1981,California,San Mateo,81,6,Parts per million,Good,58,Ozone,0.016025
1981,California,Santa Barbara,83,6,Parts per million,Good,51,CO,1.3254
